City Name,Zone Name,Ward Name,Ward No.,Total number of households (HH),HH part of the city sewerage network,Number of Households with toilets,Number of free public toilets - Female,Number of free public toilets - Male,Number of paid public toilets - Female,Number of paid public toilets - Male
Agra,CHATTA,Kajipara,1,4013,NA,NA,8,8,8,8
Agra,TAJGANJ,Gummat takht Phelwan,2,5730,NA,NA,0,0,0,0
Agra,LOHAMANDI,Jagdishpura Pachimi,3,5000,NA,NA,0,0,0,0
Agra,TAJGANJ,Sewla Jatt,4,3813,NA,NA,1,1,1,1
Agra,TAJGANJ,Himachal COlony,5,5481,NA,NA,0,0,0,0
Agra,LOHAMANDI,Jagdishpura Purv,6,2375,NA,NA,0,0,0,0
Agra,LOHAMANDI,Khatena,7,2000,NA,NA,0,0,0,0
Agra,CHATTA,Idgah,8,5703,NA,NA,1,1,1,1
Agra,LOHAMANDI,Ghas Ki Mandi,9,2980,NA,NA,0,0,0,0
Agra,LOHAMANDI,Prakash Nagar,10,3920,NA,NA,0,0,0,0
Agra,HARIPARWAT,Charsu Darwaza,11,2888,NA,NA,0,0,0,0
Agra,LOHAMANDI,Nagla Mohan,12,4130,NA,NA,1,1,1,1
Agra,HARIPARWAT,Nagla Harmukh,13,4520,NA,NA,0,0,0,0
Agra,CHATTA,Kachhpura,14,4242,NA,NA,1,1,1,1
Agra,TAJGANJ,Saray Maluk Chand,15,3681,NA,NA,0,0,0,0
Agra,CHATTA,Dholikhar,16,4095,NA,NA,1,1,1,1
Agra,CHATTA,Ratanpura,17,5427,NA,NA,0,0,0,0
Agra,LOHAMANDI,Raj nagar,18,2000,NA,NA,0,0,0,0
Agra,TAJGANJ,Bundu Katra,19,3198,NA,NA,0,0,0,0
Agra,CHATTA,Freeeganj,20,2412,NA,NA,0,0,0,0
Agra,TAJGANJ,Barah Khamba,21,3090,NA,NA,0,0,0,0
Agra,TAJGANJ,Sohalla,22,5674,NA,NA,0,0,0,0
Agra,CHATTA,Mohanpura,23,3355,NA,NA,0,0,0,0
Agra,LOHAMANDI,Gadhi Bhadhoriya,24,4332,NA,NA,0,0,0,0
Agra,CHATTA,Bagh Muzaffar Khan,25,2304,NA,NA,0,0,0,0
Agra,HARIPARWAT,Jageshwar Nagar,26,3163,NA,NA,1,1,1,1
Agra,TAJGANJ,Ajeet Nagar,27,3217,NA,NA,0,0,0,0
Agra,CHATTA,Nai Ki Saray,28,8503,NA,NA,0,0,0,0
Agra,HARIPARWAT,Khandari,29,5278,NA,NA,3,3,3,3
Agra,LOHAMANDI,Ramnagar,30,3878,NA,NA,0,0,0,0
Agra,HARIPARWAT,Lawyers Colony,31,6404,NA,NA,0,0,0,0
Agra,CHATTA,Dera Saras,32,3498,NA,NA,1,1,1,1
Agra,TAJGANJ,Dhandupura,33,3055,NA,NA,3,3,3,3
Agra,LOHAMANDI,Bhogipura,34,2940,NA,NA,0,0,0,0
Agra,TAJGANJ,Mustafa Quater,35,3354,NA,NA,1,1,1,1
Agra,TAJGANJ,Mahadev Nagar,36,4478,NA,NA,0,0,0,0
Agra,LOHAMANDI,Nagla Ajeeta,37,5500,NA,NA,0,0,0,0
Agra,HARIPARWAT,Gailana,38,2435,NA,NA,0,0,0,0
Agra,HARIPARWAT,Namner,39,4583,NA,NA,6,6,6,6
Agra,HARIPARWAT,Baluganj,40,4717,NA,NA,3,3,3,3
Agra,LOHAMANDI,Azam para,41,3509,NA,NA,0,0,0,0
Agra,CHATTA,Bhagwati Bagh,42,3057,NA,NA,0,0,0,0
Agra,HARIPARWAT,Ghatwasan,43,3638,NA,NA,0,0,0,0
Agra,TAJGANJ,Katra Fulel,44,3927,NA,NA,3,3,3,3
Agra,LOHAMANDI,Ashok Nagar,45,4000,NA,NA,0,0,0,0
Agra,LOHAMANDI,Awas Vikas Poorvi,46,2000,NA,NA,0,0,0,0
Agra,HARIPARWAT,Ghatiya Azam Khan,47,2855,NA,NA,0,0,0,0
Agra,TAJGANJ,Naripura,48,3879,NA,NA,0,0,0,0
Agra,LOHAMANDI,Rahul Nagar,49,5000,NA,NA,0,0,0,0
Agra,CHATTA,Sita Nagar,50,4724,NA,NA,0,0,0,0
Agra,HARIPARWAT,Vijay Nagar Colony,51,2633,NA,NA,0,0,0,0
Agra,HARIPARWAT,Dev Nagar,52,5211,NA,NA,1,1,1,1
Agra,CHATTA,Mantola,53,5911,NA,NA,1,1,1,1
Agra,CHATTA,Trans Yamuna,54,5336,NA,NA,1,1,1,1
Agra,CHATTA,Shahdra,55,5247,NA,NA,1,1,1,1
Agra,HARIPARWAT,Lohiya Nagar,56,2848,NA,NA,0,0,0,0
Agra,TAJGANJ,Ukkharra,57,5133,NA,NA,0,0,0,0
Agra,CHATTA,Narayach Pachimi,58,4280,NA,NA,0,0,0,0
Agra,CHATTA,Narayach Purv,59,9348,NA,NA,0,0,0,0
Agra,TAJGANJ,Kwaspura,60,4360,NA,NA,0,0,0,0
Agra,HARIPARWAT,Sarla Bagh,61,5662,NA,NA,0,0,0,0
Agra,TAJGANJ,Telipara,62,2908,NA,NA,0,0,0,0
Agra,TAJGANJ,Chavli,63,5520,NA,NA,0,0,0,0
Agra,CHATTA,Belanganj,64,6998,NA,NA,2,2,2,2
Agra,CHATTA,Yamuna Par Prakash Nagar,65,5465,NA,NA,0,0,0,0
Agra,CHATTA,Naval Ganj,66,4216,NA,NA,1,1,1,1
Agra,LOHAMANDI,Alvatiya,67,3718,NA,NA,0,0,0,0
Agra,CHATTA,Noori Darwaza,68,4218,NA,NA,2,2,2,2
Agra,LOHAMANDI,Awas Vikas Dakshin,69,3750,NA,NA,0,0,0,0
Agra,TAJGANJ,Taal Firoz Khan,70,3367,NA,NA,0,0,0,0
Agra,HARIPARWAT,Nagla Padi,71,4753,NA,NA,0,0,0,0
Agra,TAJGANJ,Nagla Mewati,72,5372,NA,NA,0,0,0,0
Agra,LOHAMANDI,Sikandra,73,5000,NA,NA,4,4,4,4
Agra,LOHAMANDI,Jaipur House,74,3500,NA,NA,1,1,1,1
Agra,LOHAMANDI,Awas Vikas Pachimi,75,3500,NA,NA,0,0,0,0
Agra,CHATTA,Dhakran,76,4701,NA,NA,0,0,0,0
Agra,LOHAMANDI,Kedar Nagar,77,3490,NA,NA,0,0,0,0
Agra,TAJGANJ,Shaheed Nagar,78,3872,NA,NA,0,0,0,0
Agra,CHATTA,Motiganj,79,3736,NA,NA,0,0,0,0
Agra,LOHAMANDI,Jatpura,80,6250,NA,NA,0,0,0,0
Agra,HARIPARWAT,"Kamla Nagar Block A,B,C,D",81,2195,NA,NA,0,0,0,0
Agra,LOHAMANDI,Bheem Nagar,82,2750,NA,NA,0,0,0,0
Agra,CHATTA,Tedi Bagiya,83,5203,NA,NA,0,0,0,0
Agra,LOHAMANDI,Rajamandi,84,6250,NA,NA,1,1,1,1
Agra,HARIPARWAT,Kaveri Kunj,85,3775,NA,NA,0,0,0,0
Agra,LOHAMANDI,Khatipara,86,4250,NA,NA,0,0,0,0
Agra,HARIPARWAT,Bhood Ka Bagh,87,4389,NA,NA,0,0,0,0
Agra,TAJGANJ,Harjupura,88,2564,NA,NA,0,0,0,0
Agra,LOHAMANDI,Ram mohan Nagar,89,4581,NA,NA,0,0,0,0
Agra,HARIPARWAT,Balkeshwar,90,3991,NA,NA,2,2,2,2
Agra,CHATTA,Rawatpara,91,4668,NA,NA,0,0,0,0
Agra,HARIPARWAT,Wazirpura,92,3053,NA,NA,4,4,4,4
Agra,HARIPARWAT,"Kamla Nagar Block E,F,G",93,3270,NA,NA,0,0,0,0
Agra,HARIPARWAT,Bagh Farzana,94,2961,NA,NA,0,0,0,0
Agra,CHATTA,Dhankot Fubbara,95,8567,NA,NA,0,0,0,0
Agra,HARIPARWAT,Maharshipuram,96,4948,NA,NA,0,0,0,0
Agra,TAJGANJ,Gober Chawki,97,5772,NA,NA,0,0,0,0
Agra,TAJGANJ,Vibhav Nagar,98,4530,NA,NA,9,9,9,9
Agra,CHATTA,Pipal Mandi,99,8189,NA,NA,1,1,1,1
Agra,CHATTA,Nai Ki Mandi,100,4612,NA,NA,0,0,0,0
